IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,COK,Cook Islands,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.35,,,74.36,,81.87,78.3 [74.4-81.9],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2013,false,Sex,Female,SEX_FMLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.29,,,74.66,,81.53,78.3 [74.7-81.5],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.27,,,75.03,,81.2,78.3 [75.0-81.2],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.35,,,74.65,,81.66,78.4 [74.6-81.7],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.40,,,75.25,,81.24,78.4 [75.3-81.2],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,BRA,Brazil,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.43,,,75.54,,81.07,78.4 [75.5-81.1],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.58,,,74.79,,81.94,78.6 [74.8-81.9],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,MKD,North Macedonia,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.65,,,75.49,,81.5,78.6 [75.5-81.5],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.77,,,75.01,,82.09,78.8 [75.0-82.1],,,EN,2019-11-14 00:00:00
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,SUR,Suriname,Year,2013,false,Sex,Male,SEX_MLE,Age Group,11-17 years,AGEGROUP_YEARS11-17,,,,,,,78.76,,,76.23,,81.09,78.8 [76.2-81.1],,,EN,2019-11-14 00:00:00
