"ISO3","Year","GDP_USD","Population_Total","Health_Exp_Percent_GDP","Polity_Score","Inactivity_Adolescents_Percent","Is_Host","GDP_per_Capita","Health_Exp_per_Capita_USD","Log_Population","Log_GDP_per_Capita"
"RWA",2009,5674476969.06444,10060432,7.79958725,-3,NA,0,564.039095842449,43.9927214043429,16.1241206640598,6.33512356796521
"RWA",2010,6124756654.12346,10317553,8.08192921,-4,NA,0,593.624927744346,47.9763464332117,16.149357177499,6.38624768514992
"RWA",2011,6884913658.10632,10573733,7.93241739,-4,NA,0,651.133677964662,51.6506411030155,16.173883464844,6.47871496362433
"RWA",2012,7654761044.99335,10829901,8.10223293,-4,NA,0,706.8172686891,57.2679814986548,16.1978214776612,6.56077217236143
"RWA",2013,7819964024.13272,11093340,6.77398062,-3,NA,0,704.92421796616,47.7514299107142,16.2218554862105,6.55809030478798
"RWA",2014,8238966119.55292,11364757,6.98471594,-3,NA,0,724.957526109262,50.6362238843833,16.246027633606,6.58611306846165
"RWA",2015,8543760205.73641,11640022,6.65067434,-3,NA,0,733.998630392315,48.8158585674531,16.2699598903001,6.59850716266225
"RWA",2016,8695272060.67925,11919183,6.96089125,-3,NA,0,729.519134044611,50.7810335687871,16.293659676984,6.59238559660394
"RWA",2017,9252833894.1905,12202060,6.3665309,-3,NA,0,758.300966737625,48.2774653623496,16.3171153479085,6.63108036058096
"RWA",2018,9637904518.99702,12487996,6.65483093,-3,NA,0,771.773511057901,51.3602223234282,16.3402784208699,6.64869112752193
"RWA",2019,10349300276.7623,12776103,6.26708555,NA,NA,0,810.051412137355,50.7666149976311,16.3630870308357,6.69709771742675
"RWA",2020,10174386854.812,13065837,7.48696899,NA,NA,0,778.70149878741,58.3011397388786,16.3855115191787,6.65762778731129
"RWA",2021,11078787095.1791,13355260,7.30378389,NA,NA,0,829.544845639778,60.5881627961635,16.4074208727006,6.72087717162877
"RWA",2022,13316161005.7244,13651030,7.8792119,NA,NA,0,975.469323979539,76.8592950558454,16.4293255346239,6.88291871311002
"RWA",2023,14331722700.3249,13954471,NA,NA,NA,0,1027.03446804432,NA,16.451310516674,6.9344307712391
"RWA",2024,14251642231.4932,14256567,NA,NA,NA,0,999.6545614027,NA,16.4727282006291,6.90740978070718
"SAS",1960,43270012739.1649,507919318,NA,NA,NA,0,85.1907206631682,NA,20.0458331700944,4.44489251549975
"SAS",1961,46076379864.3708,520416897,NA,NA,NA,0,88.5374401369039,NA,20.0701407733299,4.48342551494684
"SAS",1962,49304727903.0606,533162544,NA,NA,NA,0,92.4759784008019,NA,20.0943368962395,4.52694891782802
"SAS",1963,55539363101.615,546111213,NA,NA,NA,0,101.699730347077,NA,20.118333199781,4.62202465159649
"SAS",1964,63741466508.7531,559361410,NA,NA,NA,0,113.953993552671,NA,20.1423063517262,4.73579480161265
"SAS",1965,67970199332.8318,572498343,NA,NA,NA,0,118.725582639515,NA,20.1655203990653,4.77681480189432
"SAS",1966,54738691616.6907,585381018,NA,NA,NA,0,93.5095090778818,NA,20.1877735060045,4.53806313249113
"SAS",1967,60155334542.3489,598618725,NA,NA,NA,0,100.49023197921,NA,20.2101354342167,4.61006052853875
"SAS",1968,63211416560.9717,612171905,NA,NA,NA,0,103.257624279526,NA,20.2325236915571,4.63722707201587
"SAS",1969,69748993757.947,625773349,NA,NA,NA,0,111.460473459612,NA,20.2544988012037,4.71367002993079
"SAS",1970,74658791269.593,640078209,NA,NA,NA,0,116.640107755321,NA,20.2771009284145,4.75909319208812
"SAS",1971,79443177465.6174,654081362,NA,NA,NA,0,121.457638271028,NA,20.2987423084114,4.79956554578037
"SAS",1972,81426298286.7553,668383197,NA,NA,NA,0,121.825770983221,NA,20.3203722152313,4.80259191732207
"SAS",1973,97561887957.8079,684000704,NA,NA,NA,0,142.634192314819,NA,20.3434695048261,4.96028325704188
"SAS",1974,116963620422.229,700247383,NA,NA,NA,0,167.031856543517,NA,20.3669442348608,5.11818455197042
"SAS",1975,123400629130.854,717092514,NA,NA,NA,0,172.084670696833,NA,20.390715419529,5.14798662718081
"SAS",1976,117988534885.073,734217635,NA,NA,NA,0,160.699674402499,NA,20.4143160480793,5.07953724662131
"SAS",1977,136743438548.561,751760482,NA,NA,NA,0,181.897614762571,NA,20.4379283232009,5.20344397253305
"SAS",1978,155039888662.564,769329109,NA,NA,NA,0,201.52609182316,NA,20.4610294060079,5.30591886096003
"SAS",1979,173920685619.916,787440583,NA,NA,NA,0,220.868328829727,NA,20.4842984756588,5.39756672680955
"SAS",1980,210608299657.661,806369775,NA,NA,NA,0,261.180795941491,NA,20.5080529731801,5.56521287227016
"SAS",1981,220616445555.575,825638560,NA,NA,NA,0,267.20705190365,NA,20.5316676570273,5.58802383316921
"SAS",1982,226594563448.698,845349352,NA,NA,NA,0,268.048426266136,NA,20.5552605342006,5.59116765921037
"SAS",1983,243700817417.399,865442337,NA,NA,NA,0,281.591051186809,NA,20.5787513064443,5.64045584532301
"SAS",1984,239973094448.251,885894499,NA,NA,NA,0,270.882249205897,NA,20.6021084258585,5.60168422167986
"SAS",1985,263678832418.149,906622025,NA,NA,NA,0,290.836561595941,NA,20.6252361902417,5.67276146539022
"SAS",1986,280349120351.568,927646189,NA,NA,NA,0,302.215568474208,NA,20.6481609561982,5.71114056563348
"SAS",1987,313355004645.126,948802143,NA,NA,NA,0,330.263803635956,NA,20.6707108448477,5.79989174006401
"SAS",1988,334074870363.848,970044151,NA,NA,NA,0,344.39140735961,NA,20.6928521449207,5.8417788226477
"SAS",1989,335790574664.33,991571016,NA,NA,NA,0,338.645008018599,NA,20.7148011281701,5.82495238472427
"SAS",1990,364740287587.944,1013297018,NA,NA,NA,0,359.953973128088,NA,20.7364752255543,5.88597617085436
"SAS",1991,314469355543.217,1035058149,NA,NA,NA,0,303.81805683771,NA,20.7577234446943,5.71642902499088
"SAS",1992,333546277429.535,1057074570,NA,NA,NA,0,315.53713133931,NA,20.7787710900689,5.75427636551369
"SAS",1993,327009281232.946,1079256381,NA,NA,NA,0,302.994994507191,NA,20.7995381048216,5.71371628559467
"SAS",1994,377442853701.433,1101305517,NA,NA,NA,0,342.723111684396,NA,20.8197621466568,5.83692286659607
"SAS",1995,416341940329.578,1123515559,NA,NA,NA,0,370.570693920918,NA,20.8397284981809,5.91504423333894
"SAS",1996,458508459742.388,1145998648,NA,NA,NA,0,400.095114023545,NA,20.8595422754826,5.99170230390046
"SAS",1997,484982931205.649,1168625898,NA,NA,NA,0,415.002724170031,NA,20.8790944493999,6.02828508447429
"SAS",1998,492890659366.39,1191405930,NA,NA,NA,0,413.705057995129,NA,20.8983999004841,6.02515329963176
"SAS",1999,531770143696.111,1214263809,NA,NA,NA,0,437.936253847545,NA,20.9174038115776,6.08207336062374
"SAS",2000,544675445924.648,1237185482,3.87470994804373,NA,NA,0,440.253667577913,17.0585526542688,20.9361048641444,6.08735107801263
"SAS",2001,562554379798.02,1260149056,4.084068875594,NA,NA,0,446.418919348871,18.2320561398903,20.9544958493258,6.10125779222293
"SAS",2002,593707009776.722,1282584796,4.0899820190923,NA,NA,0,462.898836496673,18.9324791793014,20.9721432505623,6.13750853452504
"SAS",2003,694775911444.331,1304347790,3.88553089557589,NA,NA,0,532.66154684429,20.6967289714873,20.9889689750127,6.27788622593036
"SAS",2004,804159915389.764,1325950587,3.86856198744402,NA,NA,0,606.478041696258,23.4619789832563,21.0053954633099,6.40766852277611
"SAS",2005,924419567611.272,1346886384,3.72779031080319,NA,NA,0,686.338193475473,25.5852486757203,21.0210613833784,6.53137049964904
"SAS",2006,1051897222990.84,1367187349,3.57309300378503,NA,NA,0,769.387768077453,27.4909405131533,21.0360214365046,6.64559509219007
"SAS",2007,1342148092012.26,1386949456,3.51084763549702,NA,NA,0,967.697911561285,33.9743992468034,21.050372536375,6.87491996373771
"SAS",2008,1347380565219.4,1406047164,3.51163715690981,NA,NA,0,958.275511460297,33.6511589260073,21.0640481745802,6.86513532687554
"SAS",2009,1502961023415.75,1425370200,3.48075323131367,NA,NA,0,1054.43555885745,36.7022997870509,21.0776974064013,6.96076088743741
"SAS",2010,1869826933837.31,1444967010,3.30021024682314,NA,NA,0,1294.02742131622,42.7056255549792,21.0913523278004,7.16551466596168
"SAS",2011,2045738547568.26,1464372623,3.22089990223588,NA,NA,0,1397.0068242448,44.9961914363294,21.1046927440069,7.24208724417331
"SAS",2012,2057958207007.54,1483553073,3.28511295230873,NA,NA,0,1387.18205938261,45.5704975048811,21.1177057725861,7.23502967297163
"SAS",2013,2111121954336.84,1501661991,3.65992309365281,NA,NA,0,1405.85695515339,51.4532833653832,21.1298383256823,7.24840232832814
"SAS",2014,2323059672054.2,1519839246,3.53519781220857,NA,NA,0,1528.49038355087,54.0351585991086,21.1418704070012,7.33203584988216
"SAS",2015,2414503392484.38,1537370078,3.51930676428738,NA,NA,0,1570.54142462917,55.2721705929098,21.1533390519606,7.35917569534474
"SAS",2016,2679313169377.96,1555111864,3.42627632541311,NA,NA,0,1722.90703415144,59.031555820008,21.1648133182538,7.45176827926927
"SAS",2017,3075955432871.73,1572520427,2.92068297911061,NA,NA,0,1956.06707554186,57.1305181353378,21.1759455365976,7.57869114220611
"SAS",2018,3159841615195.07,1589164714,2.8522568100232,NA,NA,0,1988.3663331799,56.7133141463324,21.1864743780337,7.59506864246377
"SAS",2019,3318484576527.33,1605412986,2.92861102715442,NA,NA,0,2067.05975687637,60.5361399777528,21.1966468725788,7.63388246921859
"SAS",2020,3172770463749.49,1621073417,3.26397792686911,NA,NA,0,1957.20343722686,63.8826881750082,21.2063543698526,7.57927191560945
"SAS",2021,3717045071833.11,1634785356,3.2821181510924,NA,NA,0,2273.72055798689,74.626195138807,21.2147773519436,7.72917278108962
"SAS",2022,3930640282535.14,1648009565,3.26451802514628,NA,NA,0,2385.08341578414,77.861478023048,21.2228340724217,7.77698937788237
"SAS",2023,4210278492152.87,1662580579,NA,NA,NA,0,2532.37560051691,NA,21.2316367978911,7.83691311369894
"SAS",2024,4514924632400.27,1677384532,NA,NA,NA,0,2691.64556264089,NA,21.240501591058,7.89790801888708
"SAU",1946,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1947,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1948,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1949,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1950,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1951,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1952,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1953,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1954,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1955,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1956,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1957,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1958,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1959,NA,NA,NA,-10,NA,0,NA,NA,NA,NA
"SAU",1960,1748124063.55556,2435403,NA,-10,NA,0,717.796628958558,NA,14.7056228038848,6.57618628235051
"SAU",1961,1920811284.22222,2526347,NA,-10,NA,0,760.311740320004,NA,14.7422849437961,6.63372853380924
"SAU",1962,2130606531.77778,2620910,NA,-10,NA,0,812.926247668855,NA,14.7790321436771,6.70064038915837
